epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,32962.6,0.94038,0.50624,1.08619,0.99669,1,0.995,0.76176,0.98691,0.38149,1.06907,0.00021471,0.00021471,0.00021471
90,33283.8,0.95437,0.49911,1.09495,0.9971,1,0.995,0.76274,0.97729,0.39145,1.07056,0.000198206,0.000198206,0.000198206
91,33602,0.91732,0.48596,1.09958,0.99712,1,0.995,0.75149,0.99654,0.39383,1.09144,0.000181703,0.000181703,0.000181703
92,33920.1,0.92058,0.4764,1.10496,0.99688,1,0.995,0.76617,0.95127,0.37637,1.04093,0.0001652,0.0001652,0.0001652
93,34238,0.90617,0.46354,1.08343,0.99706,1,0.995,0.76316,0.96263,0.38269,1.06381,0.000148696,0.000148696,0.000148696
94,34545.8,0.90912,0.48013,1.0927,0.99684,1,0.995,0.76583,0.96436,0.38078,1.04675,0.000132193,0.000132193,0.000132193
95,34837.7,0.87637,0.44459,1.07705,0.99657,1,0.995,0.76846,0.96017,0.38626,1.0462,0.00011569,0.00011569,0.00011569
96,35099.8,0.89528,0.45865,1.0881,0.99658,1,0.995,0.77815,0.96414,0.38346,1.04992,9.91865e-05,9.91865e-05,9.91865e-05
97,35323.6,0.88466,0.45394,1.07572,0.99679,1,0.995,0.76639,0.97574,0.38309,1.05537,8.26832e-05,8.26832e-05,8.26832e-05
98,35543.4,0.88728,0.45854,1.08492,0.99653,1,0.995,0.76032,0.99588,0.39202,1.05851,6.61799e-05,6.61799e-05,6.61799e-05
99,35777.3,0.87489,0.44801,1.06848,0.99612,1,0.995,0.76347,0.9955,0.38959,1.05898,4.96766e-05,4.96766e-05,4.96766e-05
100,36007.9,0.89417,0.464,1.07442,0.99626,1,0.995,0.75752,1.00698,0.39145,1.06497,3.31733e-05,3.31733e-05,3.31733e-05
